ProductKey,Unit price,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,StandardCost,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,DaysToManufacture,ProductLine,Class,ModelName,EnglishDescription,StartDate,Status
37,0,GT-2908,0,,,HL Grip Tape,0,NA,800,600,0,,0,,,,,01-07-2003,Current
38,0,HJ-1213,0,,,Thin-Jam Hex Nut 9,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
39,0,HJ-1220,0,,,Thin-Jam Hex Nut 10,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
40,0,HJ-1420,0,,,Thin-Jam Hex Nut 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
41,0,HJ-1428,0,,,Thin-Jam Hex Nut 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
42,0,HJ-3410,0,,,Thin-Jam Hex Nut 15,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
43,0,HJ-3416,0,,,Thin-Jam Hex Nut 16,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
44,0,HJ-3816,0,,,Thin-Jam Hex Nut 5,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
45,0,HJ-3824,0,,,Thin-Jam Hex Nut 6,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
46,0,HJ-5161,0,,,Thin-Jam Hex Nut 3,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
47,0,HJ-5162,0,,,Thin-Jam Hex Nut 4,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
48,0,HJ-5811,0,,,Thin-Jam Hex Nut 13,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
49,0,HJ-5818,0,,,Thin-Jam Hex Nut 14,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
50,0,HJ-7161,0,,,Thin-Jam Hex Nut 7,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
51,0,HJ-7162,0,,,Thin-Jam Hex Nut 8,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
52,0,HJ-9080,0,,,Thin-Jam Hex Nut 12,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
53,0,HJ-9161,0,,,Thin-Jam Hex Nut 11,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
54,0,HN-1024,0,,,Hex Nut 5,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
55,0,HN-1032,0,,,Hex Nut 6,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
56,0,HN-1213,0,,,Hex Nut 16,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
57,0,HN-1220,0,,,Hex Nut 17,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
58,0,HN-1224,0,,,Hex Nut 7,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
59,0,HN-1420,0,,,Hex Nut 8,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
60,0,HN-1428,0,,,Hex Nut 9,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
61,0,HN-3410,0,,,Hex Nut 22,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
62,0,HN-3416,0,,,Hex Nut 23,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
63,0,HN-3816,0,,,Hex Nut 12,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
64,0,HN-3824,0,,,Hex Nut 13,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
65,0,HN-4402,0,,,Hex Nut 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
66,0,HN-5161,0,,,Hex Nut 10,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
67,0,HN-5162,0,,,Hex Nut 11,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
68,0,HN-5400,0,,,Hex Nut 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
69,0,HN-5811,0,,,Hex Nut 20,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
70,0,HN-5818,0,,,Hex Nut 21,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
71,0,HN-6320,0,,,Hex Nut 3,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
72,0,HN-7161,0,,,Hex Nut 14,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
73,0,HN-7162,0,,,Hex Nut 15,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
74,0,HN-8320,0,,,Hex Nut 4,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
75,0,HN-9161,0,,,Hex Nut 18,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
76,0,HN-9168,0,,,Hex Nut 19,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
77,0,HT-2981,0,,,Handlebar Tube,0,NA,800,600,0,,1,,,,,01-07-2003,Current
78,0,HT-8019,0,,,Head Tube,0,NA,800,600,0,,1,,,,,01-07-2003,Current
79,0,HU-6280,0,,,LL Hub,0,NA,500,375,0,,1,,L ,,,01-07-2003,Current
80,0,HU-8998,0,,,HL Hub,0,NA,500,375,0,,1,,,,,01-07-2003,Current
81,0,KW-4091,0,,,Keyed Washer,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
82,0,LE-1000,0,,,External Lock Washer 3,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
83,0,LE-1200,0,,,External Lock Washer 4,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
84,0,LE-1201,0,,,External Lock Washer 9,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
85,0,LE-1400,0,,,External Lock Washer 5,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
86,0,LE-3800,0,,,External Lock Washer 7,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
87,0,LE-5160,0,,,External Lock Washer 6,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
88,0,LE-6000,0,,,External Lock Washer 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
89,0,LE-7160,0,,,External Lock Washer 8,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
90,0,LE-8000,0,,,External Lock Washer 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
91,0,LI-1000,0,,,Internal Lock Washer 3,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
92,0,LI-1200,0,,,Internal Lock Washer 4,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
93,0,LI-1201,0,,,Internal Lock Washer 9,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
94,0,LI-1400,0,,,Internal Lock Washer 5,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
95,0,LI-3800,0,,,Internal Lock Washer 7,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
96,0,LI-5160,0,,,Internal Lock Washer 6,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
97,0,LI-5800,0,,,Internal Lock Washer 10,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
98,0,LI-6000,0,,,Internal Lock Washer 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
99,0,LI-7160,0,,,Internal Lock Washer 8,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
100,0,LI-8000,0,,,Internal Lock Washer 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
101,0,LJ-1213,0,,,Thin-Jam Lock Nut 9,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
102,0,LJ-1220,0,,,Thin-Jam Lock Nut 10,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
103,0,LJ-1420,0,,,Thin-Jam Lock Nut 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
104,0,LJ-1428,0,,,Thin-Jam Lock Nut 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
105,0,LJ-3410,0,,,Thin-Jam Lock Nut 15,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
106,0,LJ-3416,0,,,Thin-Jam Lock Nut 16,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
107,0,LJ-3816,0,,,Thin-Jam Lock Nut 5,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
108,0,LJ-3824,0,,,Thin-Jam Lock Nut 6,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
109,0,LJ-5161,0,,,Thin-Jam Lock Nut 3,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
110,0,LJ-5162,0,,,Thin-Jam Lock Nut 4,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
111,0,LJ-5811,0,,,Thin-Jam Lock Nut 13,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
112,0,LJ-5818,0,,,Thin-Jam Lock Nut 14,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
113,0,LJ-7161,0,,,Thin-Jam Lock Nut 7,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
114,0,LJ-7162,0,,,Thin-Jam Lock Nut 8,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
115,0,LJ-9080,0,,,Thin-Jam Lock Nut 12,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
116,0,LJ-9161,0,,,Thin-Jam Lock Nut 11,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
117,0,LN-1024,0,,,Lock Nut 5,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
118,0,LN-1032,0,,,Lock Nut 6,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
119,0,LN-1213,0,,,Lock Nut 16,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
120,0,LN-1220,0,,,Lock Nut 17,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
121,0,LN-1224,0,,,Lock Nut 7,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
122,0,LN-1420,0,,,Lock Nut 8,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
123,0,LN-1428,0,,,Lock Nut 9,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
124,0,LN-3410,0,,,Lock Nut 22,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
125,0,LN-3416,0,,,Lock Nut 23,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
126,0,LN-3816,0,,,Lock Nut 12,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
127,0,LN-3824,0,,,Lock Nut 13,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
128,0,LN-4400,0,,,Lock Nut 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
129,0,LN-5161,0,,,Lock Nut 10,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
130,0,LN-5162,0,,,Lock Nut 11,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
131,0,LN-5400,0,,,Lock Nut 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
132,0,LN-5811,0,,,Lock Nut 20,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
133,0,LN-5818,0,,,Lock Nut 21,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
134,0,LN-6320,0,,,Lock Nut 3,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
135,0,LN-7161,0,,,Lock Nut 14,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
136,0,LN-7162,0,,,Lock Nut 15,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
137,0,LN-8320,0,,,Lock Nut 4,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
138,0,LN-9080,0,,,Lock Nut 19,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
139,0,LN-9161,0,,,Lock Nut 18,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
140,0,LR-2398,0,,,Lock Ring,0,Silver,1000,750,0,,0,,,,,01-07-2003,Current
141,0,LR-8520,0,,,Lower Head Race,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
142,0,LW-1000,0,,,Lock Washer 4,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
143,0,LW-1200,0,,,Lock Washer 5,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
144,0,LW-1201,0,,,Lock Washer 10,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
145,0,LW-1400,0,,,Lock Washer 6,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
146,0,LW-3400,0,,,Lock Washer 13,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
147,0,LW-3800,0,,,Lock Washer 8,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
148,0,LW-4000,0,,,Lock Washer 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
149,0,LW-5160,0,,,Lock Washer 7,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
150,0,LW-5800,0,,,Lock Washer 12,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
151,0,LW-6000,0,,,Lock Washer 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
152,0,LW-7160,0,,,Lock Washer 9,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
153,0,LW-8000,0,,,Lock Washer 3,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
154,0,LW-9160,0,,,Lock Washer 11,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
155,0,MA-7075,0,,,Metal Angle,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
156,0,MB-2024,0,,,Metal Bar 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
157,0,MB-6061,0,,,Metal Bar 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
158,0,MP-2066,0,,,Metal Plate 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
159,0,MP-2503,0,,,Metal Plate 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
160,0,MP-4960,0,,,Metal Plate 3,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
161,0,MS-0253,0,,,Metal Sheet 2,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
162,0,MS-1256,0,,,Metal Sheet 3,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
163,0,MS-1981,0,,,Metal Sheet 7,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
164,0,MS-2259,0,,,Metal Sheet 4,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
165,0,MS-2341,0,,,Metal Sheet 5,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
166,0,MS-2348,0,,,Metal Sheet 6,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
167,0,MS-6061,0,,,Metal Sheet 1,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
168,0,MT-1000,0,,,Metal Tread Plate,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
169,0,NI-4127,0,,,LL Nipple,0,NA,1000,750,0,,0,,L ,,,01-07-2003,Current
170,0,NI-9522,0,,,HL Nipple,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
171,0,PA-187B,0,,,Paint - Black,0,NA,60,45,0,,0,,,,,01-07-2003,Current
172,0,PA-361R,0,,,Paint - Red,0,NA,60,45,0,,0,,,,,01-07-2003,Current
173,0,PA-529S,0,,,Paint - Silver,0,NA,60,45,0,,0,,,,,01-07-2003,Current
174,0,PA-632U,0,,,Paint - Blue,0,NA,60,45,0,,0,,,,,01-07-2003,Current
175,0,PA-823Y,0,,,Paint - Yellow,0,NA,60,45,0,,0,,,,,01-07-2003,Current
176,0,PB-6109,0,,,Pinch Bolt,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
177,0,RA-2345,0,,,Cup-Shaped Race,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
178,0,RA-7490,0,,,Cone-Shaped Race,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
179,0,RF-9198,0,,,Reflector,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
180,0,RM-M464,0,G  ,,LL Mountain Rim,0,NA,800,600,0,,0,,L ,,,01-07-2003,Current
181,0,RM-M692,0,G  ,,ML Mountain Rim,0,NA,800,600,0,,0,,M ,,,01-07-2003,Current
182,0,RM-M823,0,G  ,,HL Mountain Rim,0,NA,800,600,0,,0,,,,,01-07-2003,Current
183,0,RM-R436,0,G  ,,LL Road Rim,0,NA,800,600,0,,0,,L ,,,01-07-2003,Current
184,0,RM-R600,0,G  ,,ML Road Rim,0,NA,800,600,0,,0,,M ,,,01-07-2003,Current
185,0,RM-R800,0,G  ,,HL Road Rim,0,NA,800,600,0,,0,,,,,01-07-2003,Current
186,0,RM-T801,0,G  ,,Touring Rim,0,NA,800,600,0,,0,,,,,01-07-2003,Current
187,0,SA-M198,0,,,LL Mountain Seat Assembly,0,NA,500,375,0,,1,,L ,,,01-07-2003,Current
188,0,SA-M237,0,,,ML Mountain Seat Assembly,0,NA,500,375,0,,1,,M ,,,01-07-2003,Current
189,0,SA-M687,0,,,HL Mountain Seat Assembly,0,NA,500,375,0,,1,,,,,01-07-2003,Current
190,0,SA-R127,0,,,LL Road Seat Assembly,0,NA,500,375,0,,1,,L ,,,01-07-2003,Current
191,0,SA-R430,0,,,ML Road Seat Assembly,0,NA,500,375,0,,1,,M ,,,01-07-2003,Current
192,0,SA-R522,0,,,HL Road Seat Assembly,0,NA,500,375,0,,1,,,,,01-07-2003,Current
193,0,SA-T467,0,,,LL Touring Seat Assembly,0,NA,500,375,0,,1,,L ,,,01-07-2003,Current
194,0,SA-T612,0,,,ML Touring Seat Assembly,0,NA,500,375,0,,1,,M ,,,01-07-2003,Current
195,0,SA-T872,0,,,HL Touring Seat Assembly,0,NA,500,375,0,,1,,,,,01-07-2003,Current
196,0,SD-2342,0,,,LL Spindle/Axle,0,NA,500,375,0,,0,,L ,,,01-07-2003,Current
197,0,SD-9872,0,,,HL Spindle/Axle,0,NA,500,375,0,,0,,,,,01-07-2003,Current
198,0,SH-4562,0,,,LL Shell,0,NA,800,600,0,,0,,L ,,,01-07-2003,Current
199,0,SH-9312,0,,,HL Shell,0,NA,800,600,0,,0,,,,,01-07-2003,Current
200,0,SK-9283,0,,,Spokes,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
201,0,SL-0931,0,,,Seat Lug,0,NA,1000,750,0,,0,,,,,01-07-2003,Current
202,0,SM-9087,0,,,Stem,0,NA,500,375,0,,1,,,,,01-07-2003,Current
203,0,SP-2981,0,,,Seat Post,0,NA,500,375,0,,0,,,,,01-07-2003,Current
204,0,SR-2098,0,,,Steerer,0,NA,500,375,0,,1,,,,,01-07-2003,Current
205,0,SS-2985,0,,,Seat Stays,0,NA,800,600,0,,1,,,,,01-07-2003,Current
206,0,ST-9828,0,,,Seat Tube,0,NA,500,375,0,,1,,,,,01-07-2003,Current
207,0,TO-2301,0,,,Top Tube,0,NA,500,375,0,,1,,,,,01-07-2003,Current
208,0,TP-0923,0,,,Tension Pulley,0,NA,800,600,0,,0,,,,,01-07-2003,Current
209,0,RC-0291,0,,,Rear Derailleur Cage,0,Silver,500,375,0,,0,,,,,01-07-2003,Current
210,0,FR-R92B-58,14,LB ,CM ,"HL Road Frame - Black, 58",0,Black,500,375,0,58,1,R ,H ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,01-07-2003,Current
211,0,FR-R92R-58,14,LB ,CM ,"HL Road Frame - Red, 58",0,Red,500,375,0,58,1,R ,H ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,01-07-2003,Current
212,0,HL-U509-R,31,,,"Sport-100 Helmet, Red",12.0278,Red,4,3,33.6442,,0,S ,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",01-07-2003,
213,0,HL-U509-R,31,,,"Sport-100 Helmet, Red",13.8782,Red,4,3,33.6442,,0,S ,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",01-07-2003,
214,34.99,HL-U509-R,31,,,"Sport-100 Helmet, Red",13.0863,Red,4,3,34.99,,0,S ,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",01-07-2003,Current
215,0,HL-U509,31,,,"Sport-100 Helmet, Black",12.0278,Black,4,3,33.6442,,0,S ,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",01-07-2003,
216,0,HL-U509,31,,,"Sport-100 Helmet, Black",13.8782,Black,4,3,33.6442,,0,S ,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",01-07-2003,
217,34.99,HL-U509,31,,,"Sport-100 Helmet, Black",13.0863,Black,4,3,34.99,,0,S ,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",01-07-2003,Current
218,0,SO-B909-M,23,,,"Mountain Bike Socks, M",3.3963,White,4,3,9.5,M,0,M ,,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,01-07-2003,
219,0,SO-B909-L,23,,,"Mountain Bike Socks, L",3.3963,White,4,3,9.5,L,0,M ,,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,01-07-2003,
220,0,HL-U509-B,31,,,"Sport-100 Helmet, Blue",12.0278,Blue,4,3,33.6442,,0,S ,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",01-07-2003,
221,0,HL-U509-B,31,,,"Sport-100 Helmet, Blue",13.8782,Blue,4,3,33.6442,,0,S ,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",01-07-2003,
222,34.99,HL-U509-B,31,,,"Sport-100 Helmet, Blue",13.0863,Blue,4,3,34.99,,0,S ,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",01-07-2003,Current
223,0,CA-1098,19,,,AWC Logo Cap,5.7052,Multi,4,3,8.6442,,0,S ,,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,01-07-2003,
224,0,CA-1098,19,,,AWC Logo Cap,5.2297,Multi,4,3,8.6442,,0,S ,,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,01-07-2003,
225,8.99,CA-1098,19,,,AWC Logo Cap,6.9223,Multi,4,3,8.99,,0,S ,,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,01-07-2003,Current
226,0,LJ-0192-S,21,,,"Long-Sleeve Logo Jersey, S",31.7244,Multi,4,3,48.0673,S,0,S ,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,01-07-2003,
227,0,LJ-0192-S,21,,,"Long-Sleeve Logo Jersey, S",29.0807,Multi,4,3,48.0673,S,0,S ,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,01-07-2003,
228,49.99,LJ-0192-S,21,,,"Long-Sleeve Logo Jersey, S",38.4923,Multi,4,3,49.99,S,0,S ,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,01-07-2003,Current
229,0,LJ-0192-M,21,,,"Long-Sleeve Logo Jersey, M",31.7244,Multi,4,3,48.0673,M,0,S ,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,01-07-2003,
230,0,LJ-0192-M,21,,,"Long-Sleeve Logo Jersey, M",29.0807,Multi,4,3,48.0673,M,0,S ,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,01-07-2003,
231,49.99,LJ-0192-M,21,,,"Long-Sleeve Logo Jersey, M",38.4923,Multi,4,3,49.99,M,0,S ,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,01-07-2003,Current
232,0,LJ-0192-L,21,,,"Long-Sleeve Logo Jersey, L",31.7244,Multi,4,3,48.0673,L,0,S ,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,01-07-2003,
233,0,LJ-0192-L,21,,,"Long-Sleeve Logo Jersey, L",29.0807,Multi,4,3,48.0673,L,0,S ,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,01-07-2003,
